англичанин ,Englishman
Англия ,"England (also, loosely, ‘Britain’)"
вокзал,"station, terminus"
на вокзале ,at the station
вон там ,over there (pointing)
же,(emphasizes previous word)
институт," institute (university-level institution specializing in one area, e.g. physics or foreign languages) "
когда,when
кофе, coffee
Крым,Crimea (Black Sea peninsula)
кто,who
лес," wood, forest"
море ,sea
музей ,museum
налево, to the left
направо ,to the right
о,"about, concerning"
об Англии, about England (o becomes об before а и о у э)
письмо ,letter
площадь ,square
на площади,in/on а square
почта ,post office
на почте ,at the post office
при, attached to; аt the time of
прямо ,straight оп
ресторан ,restaurant
сад,"garden, orchard"
там,there (opposite of здесь ‘here’)
туалет,toilet
Украйна ,Ukraine
на Украйне ,in the Ukraine
университет,university
царь,tsar (emperor)
центр,centre
номер,number
