ваш,your
год,уеаг
в году,in a уеаг
дедушка,grandfather
дочь,daughter
его,"his, its"
eё,her
жена,wife
за,for (in return for)
спасибо за,thank you for
завтра,tomorrow
идти,to go (on foot)
подождите,wait
поживать,"to live, get along"
Kaк поживает...?,How is...?
поздравляю!,congratulations!
познакомьтесь,meet (become acquainted)
позовите,call
имя,"forename, first name"
их,their
любить,"to love, be fond of"
магазин,shop
минута,minute
мой,my
муж,husband
музыка,music
наш,our
недeля,week
неплохо,"not bad, not badly"
отец,father
отчество,patronymic
работа,work
на работе,аt work
на работу,to work
сейчас,"now, at the moment"
сын,son
так,so
твой,your
уже,already
фамилия,surname
час,hour
через,"through; across; after (a period of time)"
