американский,American
большой,large
британский,British
ванная,bathroom
вечерний,evening
второй,second
главный,main
город,"town, city"
добрый,"good, kind"
дома,аt home
есть,is/are
западный,western
кухня,kitchen
на кухне,in the kitchen
летний,summer
маленький,small
мост,bridge
на мосту,on а bridge
новый,new
пальто,overcoat
первый,first
план,"plan, street map"
погода,weather
показывать,to show (something)
последний,last
посольство,embassy
река,river
зимний,winter
знаменитый,famous
интересный,interesting
какой,what kind оf
кваритра,"flat, apartment"
книга,book
красивый,"beautiful, attractive"
красный,red
Кремль,the Kremlin (fortress)
русский,Russian
рядом,"nearby, alongside"
сегодня, today
спальня, bedroom
станция, station (on metro ог in country)
на станции, аt а station
старый, old
также,"also, in addition"
театр, theatre
тёплый, warm
тот,that
третий,third
холодный, cold
школа, school
этаж,"floor, storey"
на этаже, on а floor
Этот, this
каменный,stone
канадский,Canadian
набережная,embankment
прихожая,entrance hall
юго-запад, the south-west
на юго-западе, in the south-west
Юго-западная, South Western (metro station)
