апельсин,orange
белый,white
блин,pancake
блины,pancakes
бутерброд,open sandwich
вкусный,tasty
вода,water
всегда,always
горячий,hot
даите,give
делать,to do;to make
деньги,money
дорогой,"dear, expensive"
друг,friend
друзья,friends
если,if
есть,"(there) is, (there) аге"
картофель,potatoes
кефир,fermented milk drink
кило,kilo(gram)
килограмм,kilogram
колбаса,salami
масло,"butter, oil"
место,"place, seat"
места,"places, seats"
яблоко,apple
яблоки,apples
молоко,milk
молочный,"milk, dairy"
мясо,meat
отдел,section (of a shop)
пирожок,pie
плохой,bad
покупать,to buy
продавать,to sell
продавец,sales assistant
продукты,"groceries, food"
рынок,market
на рынке,in/at the market
cаxap,sugar
свежий,fresh
следующий,"following, next"
слово,word
сыр,cheese
только,only
фрукт,а piece of fruit
хлеб,bread
хороший,good
чёрный,black
яйцо,egg
яйца,eggs
