больше,more
бутылка,bottle
валютный,"currency, foreign currency"
вегетарианка,(female) vegetarian
ведь,"you know/isn't it/aren’t you, etc. (indicating that the speaker expects agreement)"
время,time
грамм,gram(me)
девушка,girl
до,"as far as, until"
доллар,dollar
ещё чтo-нибудь?,anything else? (lit. ‘more anything’)
житель,(m) inhabitant
йли,or
иногда,sometimes
каждый,"each, every"
копейка,kopeck (1/100th of a rouble)
мало,"little, not much"
меньше,less
месяц,month
точно,exactly
туда,there (motion ‘thither’)
фунт,pound (weight and currency)
миллион,million
много,"much, many"
может быть,perhaps
ночь,night
овощи,vegetables
от,from
полкило,half а kilo
получать,"to receive, get"
поэтому,"so, consequently"
раз,a time
разный,various
родители,parents
рубль,rouble
русский,а Russian (man)
с вас,you owe (idiom lit. ‘from you')
сдача,change (money returned)
сколько,"how much, how many"
стоить,to cost
Сколько это стоит?,How much does this cost?
Сколько они стоят?,How much do they cost?
ходить,"to go (there and back,on foot)"
что-нибудь,anything
